,Date,User,Tweet
97,2019-09-04 10:53:38+00:00,IAM_DRIFT_KING,"Imagine if Nigeria was North Korea?

#XenophobiaInSouthAfrica 
#WeNoGetPresident 
#Xenophia"
98,2019-09-04 10:48:34+00:00,SirPhaks,“It only takes one man with a voice to convince a hundred men to fight” - Ondine Grace. #Xenophia #XenophobiaInSouthAfrica
99,2019-09-04 10:46:25+00:00,Horlaryhordhe,"@Ibrahim_Anoba You mean very proud? That there grand children were acting ungrateful, how?

#Xenophia"
100,2019-09-04 10:40:50+00:00,NSKangiwa,"Now this is how to boycott SA.
#SayNoToXenophobia 
#StopXenophobia 
#NoToXenophobia 
#Xenophia https://t.co/yvI0UKkOMI"
101,2019-09-04 10:35:45+00:00,EnuguGod,"People are dying and you are trying to pick sides?!!
Pick sides against the value of life
mark their tweets and know them o
So u knw those who hav no humanity left in them
#Xenophia #XenophobiaInSouthAfrica #XenophobicAttacks #XenophobicAttacks #Xenophobic #lindaikeji"
102,2019-09-04 10:30:44+00:00,thelazedon,"I want to come out clearly and say honestly it's not even about what we've done for SA, even if we never did shit for dem why should dey kill us, that's the main issue. It's not about dey owe us or not, is it right to kill people? #SayNoToXenophobia #Xenophia #XenophobicAttacks"
103,2019-09-04 10:28:54+00:00,Mmadudili,"@GloWorld this is an Opportunity for you to boost your service delivery nationwide. A lot of people will be porting to Glo, others will get new Glo sims: so it won't be nice that people still complain of slow network &amp; poor service; now that we have to grow local brands.#Xenophia"
104,2019-09-04 10:19:37+00:00,mcsunnyo2,The SA Chief if Police would have been sacked by now..#Xenophia https://t.co/jhCcZM2UOQ
105,2019-09-04 10:14:08+00:00,Auntyadaa,"@Royal_DeeThe1st Is your damn country the only place with “Foreigners”? Why you all have to be the only ones dealing with #Xenophia ? 

And how exactly are they becoming landlords?? 
So killing them is the best way to go about it??? 

Don’t forget you all have citizens here in Nigeria"
106,2019-09-04 10:12:58+00:00,JafaruSani00,"@MaziNnamdiKanu If you truly love Igbo's go to South Africa and protect them from #Xenophia.

@legitngnews 
@daily_trust 
@DailyPostNGR"
107,2019-09-04 10:12:02+00:00,LaminTamba,"#SouthAfrica #Nigeria #Xenophia
WHEN THE WHOLE AFRICA AND THE CARIBBEAN STOOD FOR YOU AND BY YOU, AT YOUR DARKEST HOUR!
⁦@SouthAfrica⁩ ⁦@NigeriaGov⁩ ⁦@BBCAfrica⁩  https://t.co/3xwg8vkfzG"
108,2019-09-04 10:08:07+00:00,stasiaannie,“Not every Blackman is my brother; not every Whiteman is my enemy” — Lucky Dube #SouthAfricanXenophobia #XenophobiaInSouthAfrica #Xenophia
109,2019-09-04 10:07:54+00:00,Bolaji_Tirmidhi,While #SA POLICE ARE AIDING THEIRS #Xenophia  #shoprite https://t.co/5W6hDTqjAS
110,2019-09-04 10:05:53+00:00,Olutos,"@MBuhari Mr. President, whatever the @NigeriaGov does must not be a one-off thing. The issue of #Xenophia has been an enduring thing in #SouthAfrica and the measures to address it must be long-lasting. #NotJustForNow"
